Gene,BA11.R2,BA11.Peak,BA11.Pval,BA11.qval,BA47.R2,BA47.Peak,BA47.Pval,BA47.qval,Diff.Peak,Avg.R2,Combined.Pval,Combined.qval,BA11.weight,BA47.weight,Both.weight,Age.genes,Sex.genes
RPAP2,0.02,5.61,3.02E-01,7.10E-01,0.01,1.34,6.44E-01,9.70E-01,4.27,0.01,3.02E-01,5.14E-01,1,0,1,0,0
MOP-1,0.01,-5.06,3.90E-01,7.69E-01,0.01,17.20,5.00E-01,9.42E-01,1.74,0.01,3.92E-01,5.74E-01,1,0,1,0,0
CLU,0.01,5.90,3.96E-01,7.72E-01,0.01,4.00,4.93E-01,9.41E-01,1.89,0.01,3.99E-01,5.78E-01,1,0,1,1,0
SEC23A,0.01,2.12,3.50E-01,7.43E-01,0.01,3.39,5.58E-01,9.55E-01,1.27,0.01,3.51E-01,5.47E-01,1,0,1,0,0
SAMD3,0.02,-4.88,3.37E-01,7.35E-01,0.01,17.33,5.79E-01,9.59E-01,1.80,0.01,3.38E-01,5.40E-01,1,0,1,0,0
ADCY10,0.00,8.88,7.07E-01,9.09E-01,0.02,-2.56,2.76E-01,8.73E-01,11.44,0.01,2.76E-01,4.94E-01,0,1,1,0,0
PRDX3,0.02,2.86,3.03E-01,7.11E-01,0.01,-1.11,6.43E-01,9.70E-01,3.97,0.01,3.03E-01,5.15E-01,1,0,1,0,0
C1orf59,0.00,2.06,7.41E-01,9.21E-01,0.02,-0.14,2.63E-01,8.66E-01,2.20,0.01,2.63E-01,4.87E-01,0,1,1,1,0
NDST1,0.00,17.13,7.41E-01,9.21E-01,0.02,13.75,2.64E-01,8.66E-01,3.38,0.01,2.64E-01,4.88E-01,0,1,1,0,0
KRAS,0.02,3.87,2.40E-01,6.60E-01,0.00,3.66,8.11E-01,9.86E-01,0.21,0.01,2.40E-01,4.70E-01,1,0,1,0,0
IPO4,0.00,3.24,9.54E-01,9.87E-01,0.02,9.86,2.04E-01,8.32E-01,6.62,0.01,2.04E-01,4.42E-01,0,1,1,0,0
C16orf53,0.00,-0.57,9.03E-01,9.71E-01,0.02,6.73,2.16E-01,8.41E-01,7.30,0.01,2.16E-01,4.51E-01,0,1,1,0,0
SPRYD5,0.02,16.99,2.29E-01,6.52E-01,0.00,-1.69,8.54E-01,9.91E-01,5.32,0.01,2.29E-01,4.62E-01,1,0,1,0,0
MPO,0.00,8.38,8.86E-01,9.66E-01,0.02,7.77,2.20E-01,8.45E-01,0.61,0.01,2.20E-01,4.55E-01,0,1,1,0,0
OR52B2,0.00,15.67,8.96E-01,9.70E-01,0.02,3.98,2.18E-01,8.43E-01,11.69,0.01,2.18E-01,4.53E-01,0,1,1,0,0
BCL7B,0.00,6.29,9.34E-01,9.81E-01,0.02,13.25,2.09E-01,8.35E-01,6.97,0.01,2.09E-01,4.45E-01,0,1,1,0,0
C16orf75,0.02,12.03,2.20E-01,6.43E-01,0.00,12.54,8.88E-01,9.95E-01,0.51,0.01,2.20E-01,4.54E-01,1,0,1,0,0
MASP1,0.02,-2.61,2.03E-01,6.28E-01,0.00,10.68,9.61E-01,9.98E-01,10.71,0.01,2.03E-01,4.41E-01,1,0,1,0,0
BEND3,0.02,-2.90,1.95E-01,6.20E-01,0.00,13.05,9.99E-01,1.00E+00,8.05,0.01,1.95E-01,4.36E-01,1,0,1,0,0
LEPROTL1,0.02,9.60,2.00E-01,6.25E-01,0.00,-1.58,9.76E-01,9.98E-01,11.18,0.01,2.00E-01,4.39E-01,1,0,1,0,0
MYOM1,0.01,4.27,5.60E-01,8.50E-01,0.01,4.76,3.49E-01,9.06E-01,0.49,0.01,3.50E-01,5.47E-01,0,1,1,0,0
KIT,0.01,2.54,4.23E-01,7.86E-01,0.01,3.83,4.63E-01,9.37E-01,1.30,0.01,4.26E-01,5.96E-01,1,0,1,1,0
YTHDC1,0.02,5.81,2.74E-01,6.86E-01,0.00,4.41,7.13E-01,9.76E-01,1.40,0.01,2.74E-01,4.93E-01,1,0,1,1,0
STXBP2,0.02,13.88,2.75E-01,6.87E-01,0.00,14.14,7.12E-01,9.76E-01,0.26,0.01,2.75E-01,4.94E-01,1,0,1,0,0
ARHGAP5,0.00,1.02,9.53E-01,9.87E-01,0.02,-0.82,2.05E-01,8.32E-01,1.85,0.01,2.05E-01,4.43E-01,0,1,1,1,0
TCEB1,0.01,1.66,4.95E-01,8.22E-01,0.01,2.09,3.95E-01,9.15E-01,0.44,0.01,3.97E-01,5.77E-01,0,1,1,0,0
METTL2A,0.02,5.14,2.63E-01,6.80E-01,0.00,-4.47,7.43E-01,9.81E-01,9.61,0.01,2.63E-01,4.87E-01,1,0,1,0,0
BAT3,0.00,0.40,7.81E-01,9.35E-01,0.02,14.29,2.51E-01,8.62E-01,10.11,0.01,2.51E-01,4.78E-01,0,1,1,0,0
GPX3,0.01,8.50,3.40E-01,7.37E-01,0.01,9.64,5.75E-01,9.57E-01,1.14,0.01,3.41E-01,5.42E-01,1,0,1,1,0
DIRAS1,0.01,7.09,4.21E-01,7.85E-01,0.01,12.63,4.66E-01,9.37E-01,5.53,0.01,4.24E-01,5.95E-01,1,0,1,0,0
MGC2752,0.01,0.58,3.98E-01,7.73E-01,0.01,15.67,4.92E-01,9.41E-01,8.91,0.01,4.01E-01,5.79E-01,1,0,1,0,0
OR6P1,0.01,12.56,4.41E-01,7.94E-01,0.01,12.31,4.45E-01,9.30E-01,0.25,0.01,4.46E-01,6.08E-01,1,0,1,0,0
TGM5,0.01,11.77,3.96E-01,7.72E-01,0.01,7.99,4.95E-01,9.41E-01,3.78,0.01,3.98E-01,5.77E-01,1,0,1,0,0
ARF6,0.00,13.60,7.04E-01,9.08E-01,0.02,12.21,2.78E-01,8.74E-01,1.40,0.01,2.78E-01,4.96E-01,0,1,1,0,0
ANKFN1,0.00,-5.06,7.17E-01,9.11E-01,0.02,-6.34,2.73E-01,8.71E-01,1.28,0.01,2.73E-01,4.93E-01,0,1,1,0,0
B3GALT1,0.00,-0.82,7.20E-01,9.12E-01,0.02,-2.64,2.72E-01,8.70E-01,1.82,0.01,2.72E-01,4.92E-01,0,1,1,0,0
FKBP15,0.00,4.87,8.42E-01,9.54E-01,0.02,-4.34,2.33E-01,8.49E-01,9.22,0.01,2.33E-01,4.63E-01,0,1,1,0,0
EPS8,0.02,0.42,2.28E-01,6.51E-01,0.00,-2.64,8.59E-01,9.91E-01,3.06,0.01,2.28E-01,4.61E-01,1,0,1,0,0
TAS2R39,0.02,8.27,2.14E-01,6.38E-01,0.00,6.01,9.14E-01,9.95E-01,2.26,0.01,2.14E-01,4.49E-01,1,0,1,0,0
DUSP13,0.00,-5.56,8.84E-01,9.65E-01,0.02,12.35,2.22E-01,8.45E-01,6.09,0.01,2.22E-01,4.56E-01,0,1,1,0,0
RPL23P8,0.00,12.32,9.20E-01,9.76E-01,0.02,8.65,2.13E-01,8.38E-01,3.68,0.01,2.13E-01,4.49E-01,0,1,1,0,0
CEACAM1,0.02,-3.87,2.09E-01,6.33E-01,0.00,-3.34,9.40E-01,9.98E-01,0.53,0.01,2.09E-01,4.45E-01,1,0,1,0,0
GLRA1,0.01,0.06,5.76E-01,8.56E-01,0.01,9.71,3.41E-01,9.03E-01,9.65,0.01,3.42E-01,5.42E-01,0,1,1,0,0
OR14C36,0.01,13.33,3.64E-01,7.52E-01,0.01,8.73,5.39E-01,9.51E-01,4.60,0.01,3.66E-01,5.56E-01,1,0,1,0,0
EIF2C1,0.02,6.34,2.40E-01,6.60E-01,0.00,-0.85,8.17E-01,9.87E-01,7.20,0.01,2.40E-01,4.70E-01,1,0,1,0,0
GGT7,0.01,8.91,3.73E-01,7.57E-01,0.01,14.54,5.26E-01,9.48E-01,5.63,0.01,3.75E-01,5.62E-01,1,0,1,0,0
ARIH2,0.01,13.79,3.86E-01,7.66E-01,0.01,15.76,5.08E-01,9.45E-01,1.97,0.01,3.88E-01,5.72E-01,1,0,1,0,0
CAPZA3,0.01,17.18,3.50E-01,7.43E-01,0.01,6.78,5.61E-01,9.55E-01,10.40,0.01,3.51E-01,5.47E-01,1,0,1,0,0
ZNF804A,0.02,5.97,2.98E-01,7.06E-01,0.01,6.84,6.59E-01,9.73E-01,0.87,0.01,2.98E-01,5.11E-01,1,0,1,1,0
HFE,0.01,7.35,5.73E-01,8.55E-01,0.01,15.10,3.43E-01,9.03E-01,7.75,0.01,3.44E-01,5.43E-01,0,1,1,0,0
CCL25,0.00,10.73,7.21E-01,9.13E-01,0.02,9.42,2.72E-01,8.70E-01,1.31,0.01,2.72E-01,4.92E-01,0,1,1,0,0
OR5K4,0.02,13.66,2.08E-01,6.33E-01,0.00,12.21,9.44E-01,9.98E-01,1.44,0.01,2.08E-01,4.45E-01,1,0,1,0,0
RNU105B,0.00,2.97,9.88E-01,9.96E-01,0.02,1.95,1.99E-01,8.31E-01,1.02,0.01,1.99E-01,4.38E-01,0,1,1,0,0
SLC27A1,0.01,13.50,4.45E-01,7.96E-01,0.01,16.79,4.42E-01,9.29E-01,3.29,0.01,4.46E-01,6.08E-01,0,1,1,0,0
EVX1,0.01,7.41,5.52E-01,8.47E-01,0.01,7.72,3.56E-01,9.08E-01,0.32,0.01,3.57E-01,5.51E-01,0,1,1,0,0
SLC35D1,0.01,3.06,4.75E-01,8.11E-01,0.01,11.86,4.14E-01,9.22E-01,8.80,0.01,4.17E-01,5.90E-01,0,1,1,0,0
RAB25,0.01,14.27,5.36E-01,8.41E-01,0.01,0.48,3.67E-01,9.10E-01,10.21,0.01,3.68E-01,5.59E-01,0,1,1,0,0
RPS21,0.01,8.03,4.64E-01,8.07E-01,0.01,3.82,4.24E-01,9.25E-01,4.21,0.01,4.28E-01,5.97E-01,0,1,1,0,0
RALY,0.01,-3.37,5.31E-01,8.39E-01,0.01,-4.24,3.71E-01,9.10E-01,0.87,0.01,3.72E-01,5.60E-01,0,1,1,0,0
CPNE1,0.01,5.45,3.52E-01,7.44E-01,0.01,-5.84,5.59E-01,9.55E-01,11.29,0.01,3.53E-01,5.49E-01,1,0,1,0,0
LCE1F,0.02,12.32,2.09E-01,6.33E-01,0.00,5.28,9.40E-01,9.98E-01,7.04,0.01,2.09E-01,4.46E-01,1,0,1,0,0
DNAJB6,0.02,-4.25,2.06E-01,6.31E-01,0.00,-2.10,9.57E-01,9.98E-01,2.15,0.01,2.06E-01,4.43E-01,1,0,1,0,0
ENO2,0.01,5.95,3.70E-01,7.56E-01,0.01,7.88,5.32E-01,9.49E-01,1.93,0.01,3.72E-01,5.60E-01,1,0,1,0,0
PABPC5,0.01,-3.18,3.41E-01,7.37E-01,0.01,9.79,5.78E-01,9.58E-01,11.03,0.01,3.41E-01,5.42E-01,1,0,1,0,0
TBC1D12,0.02,9.91,2.84E-01,6.93E-01,0.01,13.73,6.93E-01,9.74E-01,3.83,0.01,2.84E-01,5.00E-01,1,0,1,1,0
PANX2,0.00,14.71,8.89E-01,9.67E-01,0.02,11.57,2.22E-01,8.45E-01,3.14,0.01,2.22E-01,4.56E-01,0,1,1,0,0
SEMA4G,0.01,14.19,3.67E-01,7.54E-01,0.01,5.09,5.37E-01,9.50E-01,9.10,0.01,3.69E-01,5.59E-01,1,0,1,0,0
PGF,0.01,8.67,5.92E-01,8.63E-01,0.02,16.55,3.33E-01,9.01E-01,7.88,0.01,3.34E-01,5.37E-01,0,1,1,0,0
MRPS31,0.02,3.21,3.09E-01,7.15E-01,0.01,5.17,6.38E-01,9.70E-01,1.96,0.01,3.09E-01,5.19E-01,1,0,1,0,0
LIPT2,0.02,-6.23,2.67E-01,6.81E-01,0.00,-4.65,7.40E-01,9.80E-01,1.58,0.01,2.67E-01,4.89E-01,1,0,1,0,0
PBX2,0.00,-2.31,9.04E-01,9.71E-01,0.02,14.12,2.18E-01,8.43E-01,7.57,0.01,2.18E-01,4.53E-01,0,1,1,1,0
RBBP4,0.02,1.46,2.08E-01,6.33E-01,0.00,-0.65,9.47E-01,9.98E-01,2.11,0.01,2.08E-01,4.45E-01,1,0,1,0,0
ZNF384,0.01,0.26,4.31E-01,7.90E-01,0.01,16.08,4.58E-01,9.34E-01,8.18,0.01,4.35E-01,6.02E-01,1,0,1,0,0
KRTAP5-6,0.01,11.43,6.06E-01,8.69E-01,0.02,9.98,3.26E-01,8.96E-01,1.44,0.01,3.26E-01,5.31E-01,0,1,1,0,0
C16orf72,0.00,0.07,7.85E-01,9.36E-01,0.02,-2.22,2.51E-01,8.62E-01,2.29,0.01,2.51E-01,4.79E-01,0,1,1,0,0
LGALS2,0.02,14.26,3.07E-01,7.14E-01,0.01,1.90,6.44E-01,9.70E-01,11.64,0.01,3.07E-01,5.17E-01,1,0,1,0,0
GUSBP4,0.02,9.75,2.70E-01,6.84E-01,0.00,9.02,7.32E-01,9.78E-01,0.73,0.01,2.70E-01,4.91E-01,1,0,1,0,0
MIR195,0.00,7.86,7.46E-01,9.23E-01,0.02,8.41,2.65E-01,8.67E-01,0.55,0.01,2.65E-01,4.88E-01,0,1,1,0,0
CGN,0.02,14.59,2.43E-01,6.63E-01,0.00,13.07,8.14E-01,9.87E-01,1.52,0.01,2.43E-01,4.72E-01,1,0,1,0,0
FBXO34,0.01,0.07,6.24E-01,8.77E-01,0.02,-0.79,3.17E-01,8.91E-01,0.87,0.01,3.17E-01,5.25E-01,0,1,1,0,0
MAP7D3,0.00,-4.49,7.89E-01,9.36E-01,0.02,4.81,2.51E-01,8.62E-01,9.30,0.01,2.51E-01,4.78E-01,0,1,1,0,0
PTCHD1,0.00,16.99,7.07E-01,9.09E-01,0.02,15.64,2.80E-01,8.75E-01,1.35,0.01,2.80E-01,4.97E-01,0,1,1,0,0
FAM21C,0.00,3.27,7.61E-01,9.28E-01,0.02,1.10,2.60E-01,8.64E-01,2.18,0.01,2.60E-01,4.85E-01,0,1,1,1,0
ODZ2,0.01,-2.89,4.68E-01,8.08E-01,0.01,15.11,4.23E-01,9.24E-01,6.00,0.01,4.26E-01,5.96E-01,0,1,1,1,0
SRP68,0.01,5.26,3.77E-01,7.59E-01,0.01,3.75,5.26E-01,9.48E-01,1.52,0.01,3.78E-01,5.64E-01,1,0,1,0,0
UROC1,0.01,8.70,6.36E-01,8.81E-01,0.02,11.91,3.11E-01,8.89E-01,3.21,0.01,3.11E-01,5.21E-01,0,1,1,0,0
HEMGN,0.02,15.65,2.79E-01,6.90E-01,0.00,5.25,7.09E-01,9.76E-01,10.40,0.01,2.79E-01,4.96E-01,1,0,1,0,0
LPCAT4,0.00,11.95,7.71E-01,9.32E-01,0.02,12.46,2.57E-01,8.63E-01,0.52,0.01,2.57E-01,4.83E-01,0,1,1,1,0
CDK5R1,0.00,0.73,8.75E-01,9.64E-01,0.02,13.39,2.26E-01,8.48E-01,11.35,0.01,2.26E-01,4.60E-01,0,1,1,1,0
CKB,0.00,1.79,9.05E-01,9.71E-01,0.02,13.91,2.19E-01,8.44E-01,11.88,0.01,2.19E-01,4.53E-01,0,1,1,0,0
CNOT1,0.01,-1.16,4.73E-01,8.10E-01,0.01,-2.66,4.19E-01,9.24E-01,1.51,0.01,4.22E-01,5.94E-01,0,1,1,0,0
CRIP1,0.01,16.03,6.33E-01,8.80E-01,0.02,13.22,3.13E-01,8.90E-01,2.81,0.01,3.13E-01,5.22E-01,0,1,1,0,0
RPL3,0.02,6.57,2.62E-01,6.79E-01,0.00,3.76,7.58E-01,9.82E-01,2.81,0.01,2.62E-01,4.86E-01,1,0,1,0,0
INPPL1,0.01,-6.12,4.32E-01,7.90E-01,0.01,-1.62,4.59E-01,9.35E-01,4.50,0.01,4.36E-01,6.02E-01,1,0,1,0,0
CD1B,0.02,12.78,2.11E-01,6.35E-01,0.00,13.70,9.37E-01,9.98E-01,0.92,0.01,2.11E-01,4.47E-01,1,0,1,0,0
LOC100130433,0.01,14.23,4.22E-01,7.86E-01,0.01,17.06,4.69E-01,9.38E-01,2.84,0.01,4.26E-01,5.96E-01,1,0,1,0,0
C12orf34,0.01,14.89,4.87E-01,8.18E-01,0.01,10.13,4.07E-01,9.20E-01,4.75,0.01,4.10E-01,5.86E-01,0,1,1,0,0
PTPRZ1,0.01,-2.36,5.23E-01,8.34E-01,0.01,-3.00,3.79E-01,9.13E-01,0.64,0.01,3.81E-01,5.66E-01,0,1,1,0,0
RNF215,0.02,-1.17,3.31E-01,7.30E-01,0.01,14.82,6.00E-01,9.62E-01,8.01,0.01,3.31E-01,5.35E-01,1,0,1,0,0
ZC3H3,0.00,3.88,9.54E-01,9.87E-01,0.02,14.22,2.08E-01,8.34E-01,10.34,0.01,2.08E-01,4.45E-01,0,1,1,0,0
EXOC8,0.00,-0.10,8.33E-01,9.51E-01,0.02,-1.00,2.38E-01,8.52E-01,0.90,0.01,2.38E-01,4.68E-01,0,1,1,0,0
CNNM4,0.01,8.61,5.30E-01,8.38E-01,0.01,-2.11,3.74E-01,9.10E-01,10.72,0.01,3.76E-01,5.62E-01,0,1,1,1,0
MAP3K3,0.01,-1.51,5.85E-01,8.60E-01,0.02,12.26,3.40E-01,9.03E-01,10.22,0.01,3.40E-01,5.41E-01,0,1,1,0,0
SP140L,0.01,6.27,6.45E-01,8.85E-01,0.02,-6.02,3.08E-01,8.87E-01,11.71,0.01,3.08E-01,5.18E-01,0,1,1,0,0
FLJ38576,0.01,13.69,6.19E-01,8.75E-01,0.02,10.68,3.21E-01,8.93E-01,3.01,0.01,3.21E-01,5.28E-01,0,1,1,0,0
BPIL1,0.00,13.20,7.29E-01,9.17E-01,0.02,12.39,2.72E-01,8.70E-01,0.81,0.01,2.72E-01,4.92E-01,0,1,1,0,0
NPAS1,0.02,15.07,2.76E-01,6.88E-01,0.00,7.19,7.18E-01,9.77E-01,7.88,0.01,2.76E-01,4.95E-01,1,0,1,0,0
PIK3C3,0.02,5.75,2.97E-01,7.05E-01,0.01,1.27,6.69E-01,9.73E-01,4.49,0.01,2.97E-01,5.10E-01,1,0,1,0,0
NUCB2,0.02,1.69,2.83E-01,6.92E-01,0.00,0.20,7.03E-01,9.75E-01,1.49,0.01,2.83E-01,4.99E-01,1,0,1,0,0
ZPBP2,0.02,16.58,2.75E-01,6.87E-01,0.00,0.69,7.22E-01,9.77E-01,8.11,0.01,2.75E-01,4.94E-01,1,0,1,0,0
CUL5,0.02,0.55,2.62E-01,6.79E-01,0.00,3.86,7.59E-01,9.82E-01,3.30,0.01,2.62E-01,4.87E-01,1,0,1,0,0
SPAG17,0.02,14.82,2.60E-01,6.78E-01,0.00,7.94,7.64E-01,9.82E-01,6.88,0.01,2.60E-01,4.85E-01,1,0,1,0,0
C11orf61,0.00,-3.76,8.30E-01,9.50E-01,0.02,10.60,2.40E-01,8.55E-01,9.64,0.01,2.40E-01,4.69E-01,0,1,1,0,0
SIGLEC5,0.00,16.30,9.10E-01,9.73E-01,0.02,10.64,2.18E-01,8.43E-01,5.66,0.01,2.18E-01,4.53E-01,0,1,1,0,0
TAS2R40,0.02,3.03,2.32E-01,6.53E-01,0.00,-2.75,8.57E-01,9.91E-01,5.78,0.01,2.32E-01,4.63E-01,1,0,1,1,0
TNFRSF17,0.02,-4.45,2.20E-01,6.44E-01,0.00,9.11,9.03E-01,9.95E-01,10.44,0.01,2.20E-01,4.55E-01,1,0,1,0,0
CBL,0.00,14.28,9.86E-01,9.96E-01,0.02,-6.11,2.02E-01,8.32E-01,3.61,0.01,2.02E-01,4.41E-01,0,1,1,0,0
FAM92A3,0.02,13.95,2.47E-01,6.66E-01,0.00,10.06,8.05E-01,9.86E-01,3.89,0.01,2.47E-01,4.76E-01,1,0,1,0,0
KIAA0907,0.02,10.06,2.07E-01,6.33E-01,0.00,6.09,9.59E-01,9.98E-01,3.97,0.01,2.07E-01,4.45E-01,1,0,1,0,0
CCL7,0.01,14.90,4.88E-01,8.18E-01,0.01,-3.47,4.08E-01,9.20E-01,5.63,0.01,4.11E-01,5.87E-01,0,1,1,0,0
CRABP2,0.02,4.42,2.84E-01,6.93E-01,0.00,-2.26,7.01E-01,9.74E-01,6.68,0.01,2.84E-01,5.00E-01,1,0,1,0,0
MAPK8,0.01,6.10,4.29E-01,7.89E-01,0.01,1.04,4.65E-01,9.37E-01,5.06,0.01,4.33E-01,6.00E-01,1,0,1,1,0
RNF40,0.01,8.91,4.94E-01,8.21E-01,0.01,8.04,4.03E-01,9.19E-01,0.87,0.01,4.06E-01,5.83E-01,0,1,1,0,0
C7orf33,0.02,-3.26,2.38E-01,6.58E-01,0.00,16.12,8.39E-01,9.89E-01,4.62,0.01,2.38E-01,4.67E-01,1,0,1,0,0
TRAIP,0.02,-4.04,2.14E-01,6.37E-01,0.00,13.50,9.33E-01,9.97E-01,6.46,0.01,2.14E-01,4.49E-01,1,0,1,0,0
SLFN12,0.02,-3.26,2.40E-01,6.60E-01,0.00,0.66,8.30E-01,9.87E-01,3.93,0.01,2.40E-01,4.70E-01,1,0,1,0,0
MIR504,0.01,-4.99,4.12E-01,7.80E-01,0.01,11.98,4.84E-01,9.40E-01,7.03,0.01,4.15E-01,5.89E-01,1,0,1,0,0
SEL1L,0.02,1.81,2.72E-01,6.86E-01,0.00,-1.60,7.32E-01,9.78E-01,3.40,0.01,2.72E-01,4.92E-01,1,0,1,0,0
MIR99B,0.02,9.85,2.18E-01,6.41E-01,0.00,13.72,9.15E-01,9.95E-01,3.87,0.01,2.18E-01,4.53E-01,1,0,1,0,0
CMTM4,0.01,2.58,3.88E-01,7.67E-01,0.01,-4.41,5.14E-01,9.46E-01,6.99,0.01,3.90E-01,5.73E-01,1,0,1,1,0
OR2A12,0.02,-1.30,3.26E-01,7.28E-01,0.01,13.71,6.12E-01,9.63E-01,8.99,0.01,3.26E-01,5.31E-01,1,0,1,0,0
ST14,0.02,12.78,2.21E-01,6.45E-01,0.00,7.00,9.02E-01,9.95E-01,5.78,0.01,2.21E-01,4.55E-01,1,0,1,0,0
AKAP8L,0.02,4.90,2.14E-01,6.37E-01,0.00,11.83,9.33E-01,9.97E-01,6.93,0.01,2.14E-01,4.49E-01,1,0,1,0,0
EOMES,0.01,15.37,4.89E-01,8.18E-01,0.01,10.66,4.08E-01,9.20E-01,4.71,0.01,4.11E-01,5.87E-01,0,1,1,0,0
ZNF414,0.01,0.08,3.63E-01,7.51E-01,0.01,7.92,5.50E-01,9.54E-01,7.84,0.01,3.64E-01,5.55E-01,1,0,1,0,0
SPATS1,0.01,15.75,4.41E-01,7.94E-01,0.01,3.98,4.53E-01,9.32E-01,11.77,0.01,4.46E-01,6.08E-01,1,0,1,0,0
TRAPPC5,0.01,4.24,5.41E-01,8.42E-01,0.01,7.11,3.70E-01,9.10E-01,2.87,0.01,3.71E-01,5.60E-01,0,1,1,0,0
PLCB4,0.01,6.83,3.95E-01,7.71E-01,0.01,-3.26,5.06E-01,9.44E-01,10.10,0.01,3.97E-01,5.76E-01,1,0,1,1,0
MIRLET7A1,0.02,14.83,3.31E-01,7.30E-01,0.01,9.74,6.04E-01,9.62E-01,5.09,0.01,3.31E-01,5.35E-01,1,0,1,0,0
ZNF433,0.01,-4.84,3.51E-01,7.43E-01,0.01,-1.75,5.70E-01,9.57E-01,3.08,0.01,3.52E-01,5.48E-01,1,0,1,0,0
LOC100127950,0.01,8.27,3.71E-01,7.56E-01,0.01,2.13,5.39E-01,9.51E-01,6.14,0.01,3.72E-01,5.60E-01,1,0,1,1,0
TTI1,0.02,2.60,3.32E-01,7.32E-01,0.01,12.64,6.01E-01,9.62E-01,10.04,0.01,3.33E-01,5.36E-01,1,0,1,0,0
MFSD2A,0.01,0.50,6.17E-01,8.73E-01,0.02,17.02,3.24E-01,8.94E-01,7.48,0.01,3.24E-01,5.30E-01,0,1,1,0,0
GLYCTK,0.02,13.43,2.88E-01,6.98E-01,0.01,7.90,6.93E-01,9.74E-01,5.53,0.01,2.88E-01,5.04E-01,1,0,1,0,0
CD300C,0.01,14.68,5.16E-01,8.31E-01,0.01,-4.94,3.88E-01,9.15E-01,4.37,0.01,3.90E-01,5.73E-01,0,1,1,0,0
LMAN1L,0.01,15.45,5.82E-01,8.59E-01,0.01,3.61,3.44E-01,9.03E-01,11.84,0.01,3.44E-01,5.44E-01,0,1,1,0,0
NMS,0.02,13.97,2.52E-01,6.70E-01,0.00,1.16,7.95E-01,9.85E-01,11.19,0.01,2.52E-01,4.79E-01,1,0,1,0,0
FAM160A2,0.01,4.19,6.04E-01,8.68E-01,0.02,15.95,3.31E-01,9.00E-01,11.76,0.01,3.32E-01,5.35E-01,0,1,1,1,0
MIR206,0.01,12.16,4.33E-01,7.90E-01,0.01,3.07,4.62E-01,9.37E-01,9.09,0.01,4.37E-01,6.02E-01,1,0,1,0,0
PCDHB9,0.02,4.23,2.43E-01,6.63E-01,0.00,17.03,8.23E-01,9.87E-01,11.21,0.01,2.43E-01,4.73E-01,1,0,1,0,0
GALNT3,0.02,-5.26,2.28E-01,6.52E-01,0.00,5.85,8.77E-01,9.93E-01,11.11,0.01,2.28E-01,4.61E-01,1,0,1,0,0
CYP4Z1,0.00,5.96,7.70E-01,9.32E-01,0.02,3.30,2.60E-01,8.64E-01,2.66,0.01,2.60E-01,4.85E-01,0,1,1,0,0
EBPL,0.00,15.71,9.70E-01,9.92E-01,0.02,-3.22,2.07E-01,8.33E-01,5.07,0.01,2.07E-01,4.44E-01,0,1,1,0,0
TCF4,0.00,4.62,9.89E-01,9.97E-01,0.02,13.65,2.03E-01,8.32E-01,9.03,0.01,2.03E-01,4.41E-01,0,1,1,1,0
TLN1,0.01,-2.05,5.17E-01,8.32E-01,0.01,16.74,3.88E-01,9.15E-01,5.21,0.01,3.90E-01,5.73E-01,0,1,1,0,0
SHMT2,0.01,-3.33,4.66E-01,8.07E-01,0.01,-4.22,4.31E-01,9.28E-01,0.89,0.01,4.35E-01,6.01E-01,0,1,1,1,0
OR13G1,0.01,16.71,5.16E-01,8.31E-01,0.01,12.68,3.89E-01,9.15E-01,4.04,0.01,3.91E-01,5.73E-01,0,1,1,0,0
NCKAP5L,0.01,-0.89,6.54E-01,8.87E-01,0.02,-4.38,3.07E-01,8.87E-01,3.49,0.01,3.07E-01,5.17E-01,0,1,1,0,0
KCNG2,0.01,12.00,3.81E-01,7.61E-01,0.01,11.62,5.27E-01,9.48E-01,0.39,0.01,3.82E-01,5.67E-01,1,0,1,0,0
PVALB,0.01,6.89,5.11E-01,8.29E-01,0.01,5.09,3.93E-01,9.15E-01,1.80,0.01,3.95E-01,5.75E-01,0,1,1,0,0
KRTAP27-1,0.01,-0.11,5.20E-01,8.33E-01,0.01,10.03,3.87E-01,9.15E-01,10.14,0.01,3.89E-01,5.72E-01,0,1,1,0,0
WNT1,0.01,12.76,5.07E-01,8.28E-01,0.01,11.44,3.96E-01,9.15E-01,1.32,0.01,3.98E-01,5.77E-01,0,1,1,0,0
CCL4,0.01,11.78,3.42E-01,7.39E-01,0.01,10.30,5.86E-01,9.60E-01,1.47,0.01,3.43E-01,5.43E-01,1,0,1,0,0
COMMD1,0.01,5.51,3.48E-01,7.42E-01,0.01,-0.05,5.76E-01,9.58E-01,5.56,0.01,3.49E-01,5.47E-01,1,0,1,0,0
BNC1,0.01,14.87,5.21E-01,8.34E-01,0.01,7.89,3.86E-01,9.14E-01,6.98,0.01,3.88E-01,5.71E-01,0,1,1,0,0
SPOCK1,0.01,2.59,4.99E-01,8.23E-01,0.01,3.76,4.03E-01,9.19E-01,1.16,0.01,4.06E-01,5.83E-01,0,1,1,1,0
ANLN,0.01,10.09,3.54E-01,7.45E-01,0.01,15.89,5.68E-01,9.56E-01,5.80,0.01,3.55E-01,5.49E-01,1,0,1,1,0
BACE1,0.01,-4.33,6.36E-01,8.81E-01,0.02,17.04,3.16E-01,8.90E-01,2.63,0.01,3.16E-01,5.24E-01,0,1,1,1,0
