Gene,BA11.R2,BA11.Peak,BA11.Pval,BA11.qval,BA47.R2,BA47.Peak,BA47.Pval,BA47.qval,Diff.Peak,Avg.R2,Combined.Pval,Combined.qval,BA11.weight,BA47.weight,Both.weight,Age.genes,Sex.genes
C4orf50,0.01,10.88,3.84E-01,7.64E-01,0.01,16.69,5.06E-01,9.44E-01,5.81,0.01,3.85E-01,5.69E-01,1,0,1,0,0
NT5C2,0.01,7.36,6.17E-01,8.74E-01,0.02,16.01,3.14E-01,8.90E-01,8.64,0.01,3.14E-01,5.23E-01,0,1,1,1,0
HSD17B13,0.01,12.68,6.15E-01,8.73E-01,0.02,7.59,3.15E-01,8.90E-01,5.10,0.01,3.15E-01,5.23E-01,0,1,1,0,0
C8orf77,0.01,12.51,6.49E-01,8.86E-01,0.02,10.22,2.99E-01,8.85E-01,2.30,0.01,2.99E-01,5.11E-01,0,1,1,0,0
SPOCD1,0.01,11.47,6.78E-01,8.97E-01,0.02,10.12,2.86E-01,8.79E-01,1.35,0.01,2.86E-01,5.02E-01,0,1,1,0,0
ZNF689,0.00,16.07,7.40E-01,9.21E-01,0.02,11.72,2.62E-01,8.66E-01,4.35,0.01,2.62E-01,4.87E-01,0,1,1,0,0
C11orf54,0.02,10.94,2.79E-01,6.89E-01,0.01,-5.79,6.96E-01,9.74E-01,7.27,0.01,2.79E-01,4.96E-01,1,0,1,1,0
MRPS30,0.02,5.35,2.03E-01,6.28E-01,0.00,6.92,9.54E-01,9.98E-01,1.57,0.01,2.03E-01,4.41E-01,1,0,1,0,0
DAP3,0.02,3.58,1.94E-01,6.19E-01,0.00,15.85,9.99E-01,1.00E+00,11.73,0.01,1.94E-01,4.35E-01,1,0,1,0,0
SLC35D2,0.00,-3.47,9.99E-01,1.00E+00,0.02,-0.49,1.94E-01,8.30E-01,2.98,0.01,1.94E-01,4.35E-01,0,1,1,1,0
LOC285696,0.02,8.32,2.81E-01,6.91E-01,0.01,-0.64,6.91E-01,9.74E-01,8.97,0.01,2.81E-01,4.98E-01,1,0,1,0,0
LOC554206,0.02,8.30,2.34E-01,6.54E-01,0.00,10.95,8.30E-01,9.87E-01,2.65,0.01,2.34E-01,4.64E-01,1,0,1,0,0
C21orf30,0.01,13.84,5.11E-01,8.29E-01,0.01,10.83,3.80E-01,9.14E-01,3.01,0.01,3.82E-01,5.67E-01,0,1,1,0,0
